site,rank,title,link
Al Jazeera,1,"In South Korea, Trump’s tariff threats place US love affair under strain",https://www.aljazeera.com/economy/2025/7/21/in-south-korea-trumps-tariff-threats-place-us-love-affair-under-strain?traffic_source=rss
Al Jazeera,2,"Climate crisis causing food price spikes around the world, scientists say",https://www.aljazeera.com/news/2025/7/21/climate-crisis-causing-food-price-spikes-around-the-world-scientists-say?traffic_source=rss
Al Jazeera,3,Death toll from S Korea rains rises to 18 as met agency warns of heatwaves,https://www.aljazeera.com/news/2025/7/21/toll-from-s-korea-rains-rises-to-18-as-weather-agency-warns-of-heatwaves?traffic_source=rss
Al Jazeera,4,Southeast Asia’s foreign assistance to fall more than $2bn next year,https://www.aljazeera.com/news/2025/7/21/southeast-asias-foreign-assistance-to-fall-more-than-two-billion-next-year?traffic_source=rss
Al Jazeera,5,"Russia-Ukraine war: List of key events, day 1,243",https://www.aljazeera.com/news/2025/7/21/russia-ukraine-war-list-of-key-events-day-1243?traffic_source=rss
Al Jazeera,6,Israeli forces kill 115 Palestinians in Gaza as 19 people starve to death,https://www.aljazeera.com/news/2025/7/20/israeli-fire-mows-down-starving-palestinians-in-gaza-as-hunger-deaths-surge?traffic_source=rss
Al Jazeera,7,Iran to hold nuclear talks with 3 European powers on Friday,https://www.aljazeera.com/news/2025/7/20/iran-to-hold-nuclear-talks-with-3-european-powers-on-friday?traffic_source=rss
Al Jazeera,8,Why are so many Palestinian religious sites under attack by Israel?,https://www.aljazeera.com/video/inside-story/2025/7/20/why-are-so-many-palestinian-religious-sites-under-attack-by-israel?traffic_source=rss
Al Jazeera,9,"Japan’s gov’t loses upper house control, as far-right party makes gains",https://www.aljazeera.com/news/2025/7/20/japans-far-right-party-makes-electoral-gains-with-anti-globalist-message?traffic_source=rss
Al Jazeera,10,"Brief: Ceasefire in south Syria, Gaza students sit for exams",https://www.aljazeera.com/video/the-take-2/2025/7/20/brief-ceasefire-in-south-syria-gaza-students-sit-for-exams?traffic_source=rss
Al Jazeera,11,Do Africa’s leaders have a ‘game plan’ to deal with Trump?,https://www.aljazeera.com/video/the-bottom-line/2025/7/20/do-africas-leaders-have-a-game-plan-to-deal-with-trump?traffic_source=rss
Al Jazeera,12,Heatwave causes water shortages in Iran as temps top 50C,https://www.aljazeera.com/news/2025/7/20/heatwave-causes-water-shortages-in-iran-as-temps-top-50c?traffic_source=rss
Al Jazeera,13,Lowering UK voting age benefits “both sides” of political extremes,https://www.aljazeera.com/video/quotable/2025/7/20/lowering-uk-voting-age-benefits-both-sides-of-political-extremes?traffic_source=rss
Al Jazeera,14,Israel to fund tour for MAGA and pro-Trump influencers: Report,https://www.aljazeera.com/news/2025/7/20/israel-to-fund-tour-for-maga-and-pro-trump-influencers-report?traffic_source=rss
Al Jazeera,15,"Marc Marquez wins Czech MotoGP in Brno, extends championship lead",https://www.aljazeera.com/sports/2025/7/20/marc-marquez-wins-czech-motogp-in-brno-extends-championship-lead?traffic_source=rss
Al Jazeera,16,#GazaIsStarving trends on social media as Israel kills hungry Palestinians,https://www.aljazeera.com/news/2025/7/20/gazaisstarving-trends-on-social-media-as-israel-kills-hungry-palestinians?traffic_source=rss
Al Jazeera,17,Video: The DRC and M23 rebel group sign deal in Qatar to end fighting,https://www.aljazeera.com/video/newsfeed/2025/7/20/video-the-drc-and-m23-rebel-group-sign-deal-in-qatar-to-end-fighting?traffic_source=rss
Al Jazeera,18,Appeals and negotiations won’t make Israel stop starving Gaza,https://www.aljazeera.com/opinions/2025/7/20/appeals-and-negotiations-wont-make-israel-stop-starving-gaza?traffic_source=rss
Al Jazeera,19,Dozens drown as tourist boat capsizes in Vietnam,https://www.aljazeera.com/video/newsfeed/2025/7/20/dozens-drown-as-tourist-boat-capsizes-in-vietnam?traffic_source=rss
Al Jazeera,20,Israel issues forced displacement order in central Gaza in new campaign,https://www.aljazeera.com/news/2025/7/20/israel-issues-forced-displacement-order-in-central-gaza-in-new-campaign?traffic_source=rss
